#     point_x       point_y       point_z
    0.0410408       -0.0254        0.0005
    0.0418883       -0.0254       -0.0005
    0.0418883       -0.0254        0.0005
    0.0427424       -0.0254       -0.0005
    0.0427424       -0.0254        0.0005
    0.0436031       -0.0254       -0.0005
    0.0436031       -0.0254        0.0005
    0.0444704       -0.0254       -0.0005
    0.0444704       -0.0254        0.0005
    0.0453446       -0.0254       -0.0005
    0.0453446       -0.0254        0.0005
    0.0462255       -0.0254       -0.0005
    0.0462255       -0.0254        0.0005
    0.0471133       -0.0254       -0.0005
    0.0471133       -0.0254        0.0005
     0.048008       -0.0254       -0.0005
     0.048008       -0.0254        0.0005
    0.0489096       -0.0254       -0.0005
    0.0489096       -0.0254        0.0005
    0.0498183       -0.0254       -0.0005
    0.0498183       -0.0254        0.0005
     0.050734       -0.0254       -0.0005
     0.050734       -0.0254        0.0005
    0.0516568       -0.0254       -0.0005
    0.0516568       -0.0254        0.0005
    0.0525868       -0.0254       -0.0005
    0.0525868       -0.0254        0.0005
     0.053524       -0.0254       -0.0005
     0.053524       -0.0254        0.0005
    0.0544686       -0.0254       -0.0005
    0.0544686       -0.0254        0.0005
    0.0554204       -0.0254       -0.0005
    0.0554204       -0.0254        0.0005
    0.0563797       -0.0254       -0.0005
    0.0563797       -0.0254        0.0005
    0.0573464       -0.0254       -0.0005
    0.0573464       -0.0254        0.0005
    0.0583206       -0.0254       -0.0005
    0.0583206       -0.0254        0.0005
    0.0593025       -0.0254       -0.0005
    0.0593025       -0.0254        0.0005
    0.0602919       -0.0254       -0.0005
    0.0602919       -0.0254        0.0005
    0.0612891       -0.0254       -0.0005
    0.0612891       -0.0254        0.0005
    0.0622939       -0.0254       -0.0005
    0.0622939       -0.0254        0.0005
    0.0633067       -0.0254       -0.0005
    0.0633067       -0.0254        0.0005
    0.0643272       -0.0254       -0.0005
    0.0643272       -0.0254        0.0005
    0.0653557       -0.0254       -0.0005
    0.0653557       -0.0254        0.0005
    0.0663923       -0.0254       -0.0005
    0.0663923       -0.0254        0.0005
    0.0674368       -0.0254       -0.0005
    0.0674368       -0.0254        0.0005
    0.0684895       -0.0254       -0.0005
    0.0684895       -0.0254        0.0005
    0.0695504       -0.0254       -0.0005
    0.0695504       -0.0254        0.0005
    0.0706195       -0.0254       -0.0005
    0.0706195       -0.0254        0.0005
    0.0716969       -0.0254       -0.0005
    0.0716969       -0.0254        0.0005
    0.0727828       -0.0254       -0.0005
    0.0727828       -0.0254        0.0005
     0.073877       -0.0254       -0.0005
     0.073877       -0.0254        0.0005
    0.0749798       -0.0254       -0.0005
    0.0749798       -0.0254        0.0005
    0.0760911       -0.0254       -0.0005
